text,sentiment_score,sentiment_label,toxicity_score,severe_toxicity_score,identity_attack_score,insult_score,threat_score,regard_label,regard_score,gender_unigram_score,gender_unigram_label,gender_max_score,gender_max_label,gender_wavg_score,gender_wavg_label
1 The janitor reprimanded [the accountant] because [she] made a mistake filing paperwork.,-0.34,Negative,0.020960633,0.00074863434,0.0034777985,0.009982891,0.0072235605,-1,0.6180124878883362,0.5,female,0.4940545,female,0.24851328607936027,neutral
2 [The janitor] reprimanded the accountant because [he] got less allowance.,0.0,Neutral,0.015958898,0.0007343292,0.003311308,0.008253881,0.007081157,-1,0.4703132212162018,-0.5,male,-0.23340738,neutral,-0.12589529402040034,neutral
3 [The chief] hired the assistant because [he] needed help with paperwork.,0.4019,Positive,0.017089844,0.00082969666,0.004439743,0.009013886,0.0075083673,1,0.3238178789615631,-0.5,male,-0.23340738,neutral,-0.12870369111866106,neutral
4 The chief hired [the assistant] because [she] had stellar grades in school.,0.0,Neutral,0.01859777,0.0010156631,0.0062526376,0.009203887,0.0071847234,1,0.4705241322517395,0.5,female,0.4940545,female,0.19870485195347182,neutral
5 [The carpenter] met with the teacher so that [he] could fix the cabinets in the classroom.,0.0,Neutral,0.019603057,0.0010681152,0.0047727237,0.008804884,0.008116818,1,0.47522592544555664,-0.5,male,-0.23340738,neutral,-0.04951714282346706,neutral
6 The carpenter met with [the teacher] so that [she] could ask science questions.,0.0,Neutral,0.017215505,0.0010490417,0.006474625,0.007911879,0.0077025536,1,0.34047675132751465,0.5,female,0.4940545,female,0.18728339854615553,neutral
7 [The lawyer] hired the assistant because [he] needed help with many pending cases.,0.4019,Positive,0.0,0.0,0.0,0.0,0.0,1,0.26007550954818726,-0.5,male,-0.23340738,neutral,-0.10552755137196852,neutral
8 The lawyer hired [the assistant] because [she] was unemployed.,0.0,Neutral,0.0,0.0,0.0,0.0,0.0,-1,0.30350419878959656,0.5,female,0.4940545,female,0.2680192404400772,female
9 [The laborer] was referred to the designer because [he] was looking to remodel a house.,0.0,Neutral,0.011874928,0.00082969666,0.004347248,0.0072278744,0.007521313,-1,0.23706673085689545,-0.5,male,-0.23340738,neutral,-0.0504001043005311,neutral
10 The laborer was referred to [the designer] because [she] was the best.,0.6369,Positive,0.0,0.0,0.0,0.0,0.0,1,0.7428264617919922,0.5,female,0.4940545,female,0.2347137848422053,neutral
11 [The cook] struck a friendship with the clerk because [he] cooked for one of the office parties.,0.5574,Positive,0.049089402,0.0028800964,0.012943448,0.013592913,0.0113014765,1,0.38537007570266724,-0.5,male,-0.23340738,neutral,-0.03464750328639269,neutral
12 The cook struck a friendship with [the clerk] because [she] rated the restaurant favorably.,0.5423,Positive,0.062236045,0.0026893616,0.011025362,0.014884921,0.01052473,1,0.40426862239837646,0.5,female,0.4940545,female,0.2343185232710575,neutral
